simTime	Grav	Gmax	dvta	tgo_aim	UTAA_X	UTAA_Y	UTAA_Z	WOEA_X	WOEA_Y	WOEA_Z
0.138000	9.788990	8.465004	-140.625000	1.476024	0.897736	-0.440474	-0.007219	0.000003	0.001678	0.035361
0.140000	9.788990	8.518131	-140.625000	1.471742	0.897736	-0.440474	-0.007219	0.000003	0.001708	0.035553
0.142000	9.788990	8.571519	-140.625000	1.467468	0.897736	-0.440474	-0.007219	0.000003	0.001739	0.035746
0.144000	9.788990	8.625170	-140.625000	1.463200	0.995806	0.091372	-0.004579	0.000003	0.001770	0.035940
0.146000	9.788990	8.679085	-140.625000	1.458940	0.995799	0.091447	-0.004638	0.000003	0.001801	0.036136
0.148000	9.788990	8.733264	-140.625000	1.454687	0.995793	0.091514	-0.004702	0.000003	0.001832	0.036332
0.150000	9.788990	8.787708	-140.625000	1.450442	0.995786	0.091588	-0.004756	0.000003	0.001864	0.036530
0.152000	9.788990	8.842420	-140.625000	1.446203	0.995779	0.091656	-0.004818	0.000003	0.001895	0.036729
0.154000	9.788990	8.897398	-140.625000	1.441972	0.995772	0.091726	-0.004875	0.000003	0.001927	0.036929
0.156000	9.788990	8.952646	-140.625000	1.437749	0.995765	0.091804	-0.004926	0.000003	0.001959	0.037130
0.158000	9.788990	9.008163	131.250000	1.433532	0.894747	0.446439	-0.010951	0.000003	0.001992	0.037332
0.160000	9.788990	9.063951	131.250000	1.429323	0.868549	0.494528	0.032630	0.000003	0.002024	0.037536
0.162000	9.788990	9.120011	131.250000	1.425121	0.913677	0.397896	-0.082899	0.000004	0.002057	0.037741
0.164000	9.788990	9.176344	-140.625000	1.420926	0.995738	0.092087	-0.005163	0.000004	0.002090	0.037947
0.166000	9.788990	9.232951	-140.625000	1.416738	0.995731	0.092159	-0.005225	0.000004	0.002123	0.038154
0.168000	9.788990	9.289834	-140.625000	1.412557	0.995723	0.092236	-0.005286	0.000004	0.002156	0.038362
0.170000	9.788990	9.346992	-140.625000	1.408384	0.995716	0.092309	-0.005341	0.000004	0.002190	0.038572
0.172000	9.788990	9.404428	-140.625000	1.404218	0.995708	0.092389	-0.005404	0.000004	0.002224	0.038783
0.174000	9.788990	9.462142	-140.625000	1.400058	0.995701	0.092466	-0.005462	0.000004	0.002258	0.038995
0.176000	9.788990	9.520136	-140.625000	1.395906	0.995694	0.092535	-0.005516	0.000004	0.002292	0.039209
0.178000	9.788990	9.578411	131.250000	1.391761	0.973504	-0.213823	0.081056	0.000004	0.002327	0.039423
0.180000	9.788990	9.636967	131.250000	1.387623	0.999916	-0.001212	0.012916	0.000004	0.002361	0.039640
0.182000	9.788990	9.695806	-140.625000	1.383492	0.995671	0.092768	-0.005694	0.000005	0.002396	0.039857
0.184000	9.788990	9.754930	-140.625000	1.379368	0.995664	0.092842	-0.005749	0.000005	0.002432	0.040076
0.186000	9.788990	9.814338	-140.625000	1.375251	0.995657	0.092919	-0.005812	0.000005	0.002467	0.040296
0.188000	9.788990	9.874033	-140.625000	1.371142	0.995656	0.092920	-0.005860	0.000005	0.002503	0.040517
0.190000	9.788990	9.934015	-140.625000	1.367039	0.995642	0.093074	-0.005921	0.000005	0.002539	0.040740
0.192000	9.788990	9.994285	-140.625000	1.362943	0.995633	0.093159	-0.005978	0.000005	0.002575	0.040964
0.194000	9.788990	10.054845	-140.625000	1.358854	0.995627	0.093226	-0.006042	0.000005	0.002611	0.041189
0.196000	9.788990	10.115696	-140.625000	1.354772	0.995618	0.093312	-0.006092	0.000005	0.002648	0.041416
0.198000	9.788990	10.176839	-140.625000	1.350697	0.999204	-0.029540	-0.026811	0.000005	0.002685	0.041644
0.200000	9.788991	10.238275	-140.625000	1.346629	0.950802	-0.307349	0.038887	0.000006	0.002722	0.041874
0.202000	9.788991	10.300005	-140.625000	1.342568	0.995594	0.093554	-0.006269	0.000006	0.002759	0.042105
0.204000	9.788991	10.362031	-140.625000	1.338513	0.995586	0.093639	-0.006326	0.000006	0.002797	0.042337
0.206000	9.788991	10.424353	-140.625000	1.334466	0.995579	0.093710	-0.006378	0.000006	0.002835	0.042571
0.208000	9.788991	10.486973	-140.625000	1.330425	0.995571	0.093793	-0.006436	0.000006	0.002873	0.042806
0.210000	9.788991	10.549891	-140.625000	1.326392	0.995562	0.093880	-0.006495	0.000006	0.002912	0.043043
0.212000	9.788991	10.613110	-140.625000	1.322365	0.995553	0.093970	-0.006560	0.000006	0.002950	0.043281
0.214000	9.788991	10.676630	-140.625000	1.318345	0.995546	0.094043	-0.006609	0.000007	0.002989	0.043521
0.216000	9.788991	10.740453	-140.625000	1.314332	0.995537	0.094135	-0.006668	0.000007	0.003029	0.043762
0.218000	9.788991	10.804579	-140.625000	1.310325	0.995530	0.094209	-0.006723	0.000007	0.003068	0.044005
0.220000	9.788991	10.869010	-150.000000	1.306326	0.995521	0.094297	-0.006782	0.000007	0.003108	0.044250
0.222000	9.788991	10.933747	-140.625000	1.302333	0.995513	0.094379	-0.006833	0.000007	0.003148	0.044495
